City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
155,karakol,0,KG,1553194285,88,42.49,78.39,16.56,2.82
156,inta,80,RU,1553194285,87,66.04,60.13,28.62,6.62
157,ossora,88,RU,1553194285,89,59.24,163.07,27.27,16.02
158,sungaipenuh,36,ID,1553194031,97,-2.08,101.38,65.52,1.36
159,seoul,0,KR,1553191200,50,37.57,126.98,35.6,9.17
160,road town,20,VG,1553194191,65,18.42,-64.62,82.99,10.29
161,kantilo,20,IN,1553191200,100,20.35,85.18,78.8,3.36
162,kruisfontein,0,ZA,1553194286,86,-34.0,24.73,62.91,9.53
163,banganapalle,0,IN,1553194287,79,15.32,78.23,72.72,3.38
164,saint george,20,GR,1553190600,71,39.45,22.34,51.8,5.73
165,taloqan,12,AF,1553194287,86,36.74,69.54,34.47,2.37
166,acapulco,5,MX,1553190420,66,16.86,-99.88,86.0,6.93
167,poum,8,MK,1553194288,76,41.28,20.71,42.12,1.92
168,komsomolskiy,88,RU,1553194289,94,67.55,63.78,27.27,7.85
169,souillac,0,FR,1553194270,43,45.6,-0.6,57.99,6.93
170,muros,0,ES,1553194272,58,42.77,-9.06,60.01,5.82
171,babylon,90,US,1553194286,75,40.7,-73.33,48.99,16.11
172,carnarvon,0,ZA,1553194290,28,-30.97,22.13,67.41,11.77
173,saldanha,0,PT,1553194290,31,41.42,-6.55,55.98,5.39
174,hambantota,20,LK,1553191800,100,6.12,81.12,75.2,3.36
175,sendafa,24,ET,1553194294,36,9.16,39.02,62.01,6.06
176,butaritari,68,KI,1553194294,100,3.07,172.79,80.64,5.84
177,sinnamary,8,GF,1553194294,87,5.38,-52.96,82.26,9.42
178,eirunepe,92,BR,1553194295,78,-6.66,-69.87,84.42,2.93
179,narimanov,0,RU,1553191200,45,46.69,47.85,44.6,2.24
180,zandvoort,90,NL,1553194286,87,52.37,4.53,50.0,6.93
181,pizarro,32,CO,1553194299,90,4.95,-77.37,80.37,4.61
182,auki,68,NG,1553194299,35,12.18,6.51,90.63,6.4
183,hirado,48,JP,1553193793,65,33.32,129.49,57.0,3.0
184,norman wells,75,CA,1553191200,69,65.28,-126.83,35.6,3.38
185,high level,20,CA,1553191200,60,58.52,-117.13,41.0,9.17
186,praia da vitoria,20,PT,1553194032,68,38.73,-27.07,64.4,7.96
187,port blair,12,IN,1553194204,98,11.67,92.75,84.15,10.2
188,banda aceh,24,ID,1553194301,97,5.56,95.32,74.97,1.14
189,hithadhoo,68,MV,1553194301,100,-0.6,73.08,85.5,5.73
190,sorong,56,ID,1553194304,100,-0.86,131.25,81.99,6.17
191,quesnel,1,CA,1553193632,74,52.98,-122.49,42.01,2.24
192,pingdu,0,CN,1553191200,59,36.79,119.95,35.6,6.71
193,avarua,76,CK,1553191200,88,-21.21,-159.78,80.6,3.36
194,tasiilaq,80,GL,1553190600,78,65.61,-37.64,12.2,40.26
195,tommot,8,RU,1553194305,66,58.97,126.27,-5.76,2.48
196,leningradskiy,12,RU,1553194306,47,69.38,178.42,-15.93,5.17
197,srednekolymsk,0,RU,1553194306,33,67.46,153.71,-22.5,2.59
198,totma,88,RU,1553194306,93,59.98,42.76,31.32,10.54
199,neuquen,0,AR,1553191200,37,-38.95,-68.06,71.6,3.36
200,elizabeth city,90,US,1553194263,100,36.3,-76.22,61.0,9.17
201,samarai,92,PG,1553194313,100,-10.62,150.67,80.55,10.2
202,eureka,1,US,1553194116,100,40.8,-124.16,60.01,3.36
203,tucuman,0,PE,1553194314,59,-17.17,-70.89,72.18,4.16
204,sochaczew,75,PL,1553194220,66,52.23,20.24,53.01,9.17
205,xining,92,CN,1553194315,70,36.62,101.77,24.84,3.49
206,san cristobal,75,EC,1553193987,35,-0.39,-78.55,73.4,6.93
207,belyy yar,0,RU,1553191200,85,53.6,91.39,14.0,4.47
208,hasaki,75,JP,1553194234,93,35.73,140.83,62.6,4.7
209,yamada,75,JP,1553194202,82,36.58,137.08,57.2,9.17
210,umm lajj,0,SA,1553194320,100,25.02,37.27,65.79,4.94
211,narsaq,20,GL,1553190600,47,60.91,-46.05,15.8,20.8
212,vanimo,64,PG,1553194320,100,-2.67,141.3,81.81,16.91
213,baft,88,IR,1553194321,57,29.23,56.61,42.12,5.61
214,manadhoo,0,MV,1553194321,96,5.77,73.38,85.59,10.76
215,luocheng,92,CN,1553194321,91,28.29,114.55,57.06,5.5
216,vardo,90,US,1553194102,87,39.62,-77.74,44.6,11.41
217,polson,1,US,1553194083,56,47.69,-114.16,54.0,1.92
218,barranca,8,PE,1553194322,93,-10.75,-77.76,70.74,7.85
219,suamico,90,US,1553194315,96,44.63,-88.04,45.0,13.87
220,cap malheureux,40,MU,1553194142,78,-19.98,57.61,82.4,6.93
221,dalnegorsk,80,RU,1553194323,82,44.56,135.58,24.57,1.36
222,hokitika,80,NZ,1553194323,100,-42.72,170.96,61.38,1.48
223,bambanglipuro,48,ID,1553194323,97,-7.95,110.28,72.18,2.82
224,hamilton,90,CA,1553194254,75,43.26,-79.87,46.0,6.93
225,kanungu,20,UG,1553194325,100,-0.9,29.78,60.3,1.92
226,saint-paul,0,FR,1553194212,50,45.22,1.9,52.0,4.0
227,yangambi,12,CD,1553194329,61,0.77,24.47,86.4,2.15
228,maldonado,20,UY,1553191200,55,-34.91,-54.96,64.4,11.41
229,kharp,64,RU,1553194330,82,66.82,65.8,21.06,8.63
230,mugan,64,CN,1553194330,84,35.94,101.38,18.27,2.37
231,homer,90,US,1553194169,75,59.64,-151.54,43.0,14.99
232,alice springs,0,AU,1553191200,30,-23.7,133.88,69.8,4.7
233,rapar,0,IN,1553194331,45,23.57,70.65,73.8,9.42
234,dikson,68,RU,1553194331,98,73.51,80.55,12.06,17.69
235,saint-philippe,90,CA,1553194216,89,45.36,-73.48,46.0,3.36
236,aranos,0,NA,1553194332,20,-24.14,19.11,79.2,3.15
237,walvis bay,0,NA,1553191330,77,-22.95,14.51,62.6,6.93
238,kavaratti,0,IN,1553194332,100,10.57,72.64,83.79,8.52
239,tabou,48,CI,1553194333,98,4.42,-7.36,83.79,12.44
240,mehamn,0,NO,1553190600,79,71.03,27.85,24.8,16.11
241,coihaique,20,CL,1553191200,45,-45.58,-72.07,64.4,5.82
242,soma,68,JP,1553193927,63,37.8,140.92,55.99,10.0
243,asosa,44,ET,1553194334,21,10.07,34.53,82.8,6.96
244,cayenne,40,GF,1553191200,58,4.94,-52.33,87.8,10.29
245,lasa,20,CY,1553193930,87,34.92,32.53,60.8,4.7
246,los llanos de aridane,20,ES,1553194266,63,28.66,-17.92,66.2,13.87
247,nizhniy kuranakh,24,RU,1553194338,75,58.84,125.49,-4.59,2.48
248,ambilobe,68,MG,1553194341,96,-13.19,49.05,74.97,4.16
249,severo-kurilsk,44,RU,1553194341,100,50.68,156.12,19.8,3.6
250,kirn,0,DE,1553194334,46,49.79,7.46,53.01,6.93
251,goderich,76,CA,1553194234,91,43.74,-81.71,39.99,8.01
252,riyadh,0,SA,1553191200,18,24.63,46.72,71.6,10.29
253,namatanai,48,PG,1553194342,98,-3.66,152.44,82.98,6.96
254,bure,56,NG,1553194343,31,10.52,10.33,93.24,3.94
255,aberdare,75,GB,1553194147,87,51.71,-3.45,55.0,4.7
256,griffith,80,AU,1553191816,41,-34.29,146.06,78.8,8.05
257,hailar,64,CN,1553194344,56,49.2,119.7,16.47,3.04
258,svetlogorsk,40,RU,1553191200,92,53.14,59.15,28.4,2.24
259,nakamura,75,JP,1553194340,87,35.17,136.87,60.01,21.92
260,filingue,0,NE,1553194345,17,14.35,3.32,94.14,6.85
261,salta,75,AR,1553191200,72,-24.79,-65.41,62.6,4.7
262,cidreira,12,BR,1553194346,71,-30.17,-50.22,72.9,9.98
263,partizanskoye,0,UA,1553194346,74,44.83,34.08,36.54,4.83
264,kuna,90,US,1553194322,28,43.49,-116.42,57.99,4.72
265,cherskiy,0,RU,1553194347,40,68.75,161.3,-26.1,2.15
266,dunedin,20,NZ,1553194050,94,-45.87,170.5,60.01,2.93
267,kuytun,80,RU,1553194350,88,54.34,101.51,19.8,2.48
268,bela,0,PK,1553194351,67,26.23,66.31,59.13,2.48
269,tres arroyos,0,AR,1553194351,86,-38.38,-60.28,63.18,7.63
270,bayan,0,MN,1553194351,79,47.25,107.54,11.7,6.4
271,tessalit,56,ML,1553194355,11,20.2,1.01,79.29,7.96
272,goundam,0,ML,1553194355,16,16.42,-3.66,89.82,4.72
273,codrington,40,AU,1553194173,94,-28.95,153.24,71.6,2.59
274,balabac,68,PH,1553194358,99,7.99,117.06,81.9,11.65
275,keti bandar,24,PK,1553194359,97,24.14,67.45,74.25,11.21
276,diego de almagro,0,CL,1553194362,76,-26.39,-70.05,73.8,3.6
277,richards bay,88,ZA,1553194363,99,-28.77,32.06,71.82,9.86
278,nerchinskiy zavod,64,RU,1553194363,64,51.31,119.61,9.27,2.71
279,varhaug,20,NO,1553194203,87,58.61,5.65,42.8,8.05
280,cabrobo,68,BR,1553194364,79,-8.51,-39.31,82.98,9.19
281,lorengau,32,PG,1553194364,100,-2.02,147.27,80.37,5.17
282,lushoto,8,TZ,1553194365,67,-4.8,38.29,73.89,2.37
283,batagay-alyta,0,RU,1553194365,42,67.8,130.41,-28.98,2.59
284,faya,0,SA,1553191200,39,18.39,42.45,64.4,16.11
285,cabedelo,75,BR,1553191200,66,-6.97,-34.84,87.8,10.29
286,pemba,75,MZ,1553191200,83,-12.97,40.52,82.4,6.93
287,antofagasta,20,CL,1553191200,60,-23.65,-70.4,69.8,14.99
288,sobolevo,44,RU,1553194366,79,54.43,31.9,35.64,7.85
289,lagoa,20,PT,1553194330,48,37.14,-8.45,63.0,5.82
290,tiksi,0,RU,1553194367,66,71.64,128.87,-0.9,19.71
291,te anau,92,NZ,1553194265,91,-45.41,167.72,53.82,2.37
292,pacific grove,1,US,1553194354,58,36.62,-121.92,61.0,4.7
293,mount gambier,90,AU,1553193000,93,-37.83,140.78,62.6,6.93
294,iquique,0,CL,1553191200,56,-20.22,-70.14,73.4,16.11
295,zhigalovo,48,RU,1553194368,78,54.81,105.15,14.49,2.26
296,rochester,1,US,1553194106,75,44.02,-92.46,46.99,14.99
297,chara,20,GR,1553190600,71,39.42,22.43,51.8,5.73
298,martil,40,MA,1553193000,62,35.62,-5.28,59.0,23.04
299,kenai,40,US,1553194324,74,60.55,-151.26,42.8,5.82
300,axim,92,GH,1553194369,100,4.87,-2.24,78.3,9.31
301,johnshaven,75,GB,1553194323,93,56.79,-2.34,55.4,8.05
302,santa cruz,1,US,1553194354,71,36.97,-122.03,62.01,3.15
303,lata,48,IN,1553194373,63,30.78,78.62,39.69,2.59
304,nelson bay,75,AU,1553194234,100,-32.72,152.14,69.01,4.7
305,daru,24,SL,1553194373,79,7.99,-10.85,80.73,8.63
306,sao filipe,20,CV,1553194374,93,14.9,-24.5,71.82,14.0
307,krasyliv,88,UA,1553194374,76,49.66,26.97,43.56,9.98
308,deputatskiy,0,RU,1553194374,61,69.3,139.9,-35.19,2.59
309,puerto escondido,20,MX,1553190060,69,15.86,-97.07,82.4,11.41
310,kisangani,24,CD,1553194374,58,0.52,25.21,86.58,3.6
311,wanaka,8,NZ,1553194375,97,-44.7,169.14,47.07,2.82
312,anda,8,CN,1553194375,61,46.41,125.33,9.72,3.83
313,sabzevar,64,IR,1553194375,87,36.21,57.68,36.63,3.6
314,north bend,75,US,1553194218,76,43.41,-124.22,60.01,6.93
315,ilulissat,40,GL,1553190600,52,69.22,-51.1,-7.61,9.17
316,roald,20,NO,1553194203,87,62.58,6.12,41.0,8.05
317,general cepeda,0,MX,1553194242,60,25.38,-101.48,64.99,5.01
318,sao mateus do maranhao,20,BR,1553194377,84,-4.04,-44.48,86.94,4.38
319,kirakira,68,SB,1553194377,100,-10.46,161.92,83.43,8.41
320,mogadishu,88,SO,1553194202,97,2.04,45.34,82.62,19.48
321,batemans bay,76,AU,1553193959,96,-35.71,150.18,64.99,1.01
322,cradock,0,ZA,1553194378,61,-32.16,25.62,60.12,5.39
323,amapa,75,HN,1553191200,62,15.09,-87.97,84.2,9.17
324,eschwege,0,DE,1553194335,62,51.19,10.06,53.6,1.12
325,luderitz,0,NA,1553194159,69,-26.65,15.16,64.98,18.59
326,puerto leguizamo,20,CO,1553194379,58,-0.19,-74.78,91.8,2.48
327,lambarene,48,GA,1553194379,96,-0.7,10.22,77.67,3.27
328,klyuchevskiy,8,RU,1553194379,68,53.53,119.45,5.58,1.81
329,tautira,40,PF,1553193791,94,-17.73,-149.15,77.0,5.82
330,antalaha,48,MG,1553194380,88,-14.9,50.28,80.73,9.31
331,mayumba,0,GA,1553194380,95,-3.44,10.65,82.17,7.4
332,hobyo,76,SO,1553194380,85,5.35,48.53,79.02,12.55
333,belmonte,0,PT,1553193997,50,40.36,-7.35,55.99,0.36
334,egvekinot,48,RU,1553194381,33,66.32,-179.17,-23.58,2.37
335,ak-dovurak,0,RU,1553194381,65,51.17,90.6,5.4,1.36
336,panaba,8,MX,1553194381,44,21.28,-88.27,85.95,8.52
337,hudson bay,0,CA,1553194385,69,52.86,-102.4,43.47,3.38
338,porbandar,0,IN,1553194385,87,21.64,69.61,71.55,11.43
339,buala,92,SB,1553194385,100,-8.15,159.59,78.48,4.61
340,lappersdorf,20,DE,1553194251,52,49.05,12.09,51.01,6.4
341,bereda,0,ES,1553194204,62,43.27,-7.54,57.2,3.36
342,illapel,0,CL,1553194385,80,-31.63,-71.17,67.23,3.71
343,petropavlovsk-kamchatskiy,0,RU,1553191200,60,53.05,158.65,5.0,4.47
344,dodge city,1,US,1553193992,41,37.75,-100.02,62.01,3.36
345,green river,1,US,1553193911,55,41.53,-109.47,37.4,12.75
346,baruun-urt,24,MN,1553194386,49,46.68,113.28,14.85,9.42
347,noumea,0,NC,1553191200,88,-22.28,166.46,71.6,7.63
348,lensk,12,RU,1553194387,60,60.71,114.91,-3.24,4.16
349,la ronge,5,CA,1553191200,52,55.1,-105.3,41.0,4.7
350,muzaffarabad,8,PK,1553194390,81,34.37,73.47,43.65,4.27
351,esperance,20,TT,1553193997,52,10.24,-61.45,89.6,13.87
352,aldan,24,RU,1553194391,75,58.61,125.39,-4.59,2.48
353,talnakh,88,RU,1553194391,92,69.49,88.39,23.22,10.65
354,chokurdakh,0,RU,1553194395,40,70.62,147.9,-26.1,8.97
355,namibe,0,AO,1553194395,99,-15.19,12.15,78.39,4.94
356,lloydminster,5,CA,1553191200,69,53.28,-110.01,39.2,14.99
357,san carlos de bariloche,75,AR,1553191200,48,-41.13,-71.31,60.8,24.16
358,port hardy,40,CA,1553191200,58,50.7,-127.42,53.6,3.36
359,adre,0,TD,1553194399,49,13.47,22.2,79.92,3.94
360,nefteyugansk,40,RU,1553191200,100,61.09,72.61,28.4,6.71
361,yaan,32,NG,1553194400,82,7.38,8.57,79.47,10.65
362,malkangiri,0,IN,1553194400,93,18.35,81.9,67.32,2.71
363,dwarka,40,IN,1553193907,53,28.58,77.04,81.0,5.82
364,manakara,68,MG,1553194403,97,-22.14,48.01,78.75,8.08
365,praia,40,BR,1553191200,69,-20.25,-43.81,77.0,4.7
366,bubaque,0,GW,1553194407,88,11.28,-15.83,81.72,13.67
367,salalah,0,OM,1553190600,65,17.01,54.1,78.8,2.24
368,nandigama,8,IN,1553193000,83,16.78,80.29,77.0,9.53
369,broome,75,GB,1553194399,81,52.47,1.45,57.2,5.82
370,kiomboi,64,TZ,1553194408,95,-4.28,34.41,66.51,3.27
371,hervey bay,0,AU,1553193909,94,-25.3,152.85,73.0,5.61
372,aleppo,8,SY,1553194408,64,36.2,37.17,52.74,3.15
373,bosaso,0,SO,1553194409,100,11.28,49.18,78.21,2.59
374,point fortin,20,TT,1553193997,52,10.16,-61.68,89.6,13.87
375,general roca,0,AR,1553191200,37,-39.03,-67.58,71.6,3.36
376,buraydah,20,SA,1553191200,35,26.33,43.97,73.4,18.34
377,moroto,0,UG,1553194410,52,2.53,34.66,73.35,5.95
378,paamiut,64,GL,1553194410,100,61.99,-49.67,16.65,12.66
379,calama,0,CL,1553193919,13,-22.46,-68.93,77.0,19.46
380,labuhan,92,ID,1553194411,87,-2.54,115.51,76.32,1.7
